Approved Symbol	Approved Name	Previous Symbols	Synonyms	Entrez Gene ID	RefSeq IDs
MIR519A1	microRNA 519a-1	MIRN519A-1, MIRN519A1	hsa-mir-519a-1	574496	NR_030218
MIR519A2	microRNA 519a-2	MIRN519A-2, MIRN519A2	hsa-mir-519a-2	574500	NR_030222
MIR519B	microRNA 519b	MIRN519B	hsa-mir-519b	574469	NR_030191
MIR519C	microRNA 519c	MIRN519C	hsa-mir-519c	574466	NR_030188
MIR519D	microRNA 519d	MIRN519D	hsa-mir-519d	574480	NR_030202
MIR519E	microRNA 519e	MIRN519E	hsa-mir-519e	574463	NR_030185
MIR520A	microRNA 520a	MIRN520A	hsa-mir-520a	574467	NR_030189
MIR520B	microRNA 520b	MIRN520B	hsa-mir-520b	574473	NR_030195
MIR520C	microRNA 520c	MIRN520C	hsa-mir-520c	574476	NR_030198
MIR520D	microRNA 520d	MIRN520D	hsa-mir-520d	574482	NR_030204
MIR520E	microRNA 520e	MIRN520E	hsa-mir-520e	574461	NR_030183
MIR520F	microRNA 520f	MIRN520F	hsa-mir-520f	574464	NR_030186
MIR520G	microRNA 520g	MIRN520G	hsa-mir-520g	574484	NR_030206
MIR520H	microRNA 520h	MIRN520H	hsa-mir-520h	574493	NR_030215
MIR521-1	microRNA 521-1	MIRN521-1	hsa-mir-521-1	574494	NR_030216
MIR521-2	microRNA 521-2	MIRN521-2	hsa-mir-521-2	574481	NR_030203
MIR522	microRNA 522	MIRN522	hsa-mir-522	574495	NR_030217
MIR523	microRNA 523	MIRN523	hsa-mir-523	574471	NR_030193
MIR524	microRNA 524	MIRN524	hsa-mir-524	574478	NR_030200
MIR525	microRNA 525	MIRN525	hsa-mir-525	574470	NR_030192
MIR526A1	microRNA 526a-1	MIRN526A-1, MIRN526A1	hsa-mir-526a-1	574475	NR_030197
MIR526A2	microRNA 526a-2	MIRN526A-2, MIRN526A2	hsa-mir-526a-2	574486	NR_030208
MIR526B	microRNA 526b	MIRN526B	hsa-mir-526b	574468	NR_030190
MIR527	microRNA 527	MIRN527	hsa-mir-527	574497	NR_030219
MIR532	microRNA 532	MIRN532	hsa-mir-532	693124	NR_030241
MIR539	microRNA 539	MIRN539	hsa-mir-539	664612	NR_030256
MIR541	microRNA 541	MIRN541	hsa-mir-541	100126308	NR_030594
MIR542	microRNA 542	MIRN542	hsa-mir-542	664617	NR_030399
MIR543	microRNA 543	MIRN543	hsa-mir-543	100126335	NR_030619
MIR544A	microRNA 544a	MIRN544, MIR544	hsa-mir-544	664613	NR_030257
MIR544B	microRNA 544b		hsa-mir-544b	100422864	NR_036088
MIR545	microRNA 545	MIRN545	hsa-mir-545	664614	NR_030258
MIR548A1	microRNA 548a-1	MIRN548A1	hsa-mir-548a-1	693125	NR_030312
MIR548A1HG	MIR548A1 host gene			105374956	
MIR548A2	microRNA 548a-2	MIRN548A2	hsa-mir-548a-2	693126	NR_030317
MIR548A3	microRNA 548a-3	MIRN548A3	hsa-mir-548a-3	693127	NR_030330
MIR548AA1	microRNA 548aa-1		hsa-mir-548aa-1	100500863	NR_037516
MIR548AA2	microRNA 548aa-2		hsa-mir-548aa-2	100500895	NR_037517
MIR548AB	microRNA 548ab		hsa-mir-548ab	100616336	NR_039611
MIR548AC	microRNA 548ac		hsa-mir-548ac	100616384	NR_039621
MIR548AD	microRNA 548ad		hsa-mir-548ad	100616475	NR_039629
MIR548AE1	microRNA 548ae-1		hsa-mir-548ae-1	100616305	NR_039638
MIR548AE2	microRNA 548ae-2		hsa-mir-548ae-2	100616339	NR_039639
MIR548AG1	microRNA 548ag-1		hsa-mir-548ag-1	100616450	NR_039652
MIR548AG2	microRNA 548ag-2		hsa-mir-548ag-2	100616440	NR_039653
MIR548AH	microRNA 548ah		hsa-mir-548ah	100616254	NR_039655
MIR548AI	microRNA 548ai		hsa-mir-548ai	100616347	NR_039672
MIR548AJ1	microRNA 548aj-1		hsa-mir-548aj-1	100616191	NR_039673
MIR548AJ2	microRNA 548aj-2		hsa-mir-548aj-2	100616252	NR_039674
MIR548AK	microRNA 548ak		hsa-mir-548ak	100616488	NR_039699
MIR548AL	microRNA 548al		hsa-mir-548al	100616215	NR_039710
MIR548AM	microRNA 548am		hsa-mir-548am	100616428	NR_039762
MIR548AN	microRNA 548an		hsa-mir-548an	100616144	NR_039765
MIR548AO	microRNA 548ao		hsa-mir-548ao	100847068	NR_049801
MIR548AP	microRNA 548ap		hsa-mir-548ap	100847084	NR_049805
MIR548AQ	microRNA 548aq		hsa-mir-548aq	100847078	NR_049838
MIR548AR	microRNA 548ar		hsa-mir-548ar	100847035	NR_049839
MIR548AS	microRNA 548as		hsa-mir-548as	100847092	NR_049840
MIR548AT	microRNA 548at		hsa-mir-548at	100847030	NR_049845
MIR548AU	microRNA 548au		hsa-mir-548au	100847045	NR_049853
MIR548AV	microRNA 548av		hsa-mir-548av	100847083	NR_049858
MIR548AW	microRNA 548aw		hsa-mir-548aw	100846992	NR_049862
MIR548AX	microRNA 548ax		hsa-mir-548ax	100847063	NR_049865
MIR548AY	microRNA 548ay		hsa-mir-548ay	102465247	NR_106753
MIR548AZ	microRNA 548az		hsa-mir-548az	102466162	NR_106755
MIR548B	microRNA 548b	MIRN548B	hsa-mir-548b	693128	NR_030315
MIR548BA	microRNA 548ba		hsa-mir-548ba	102465854	NR_107011
MIR548BB	microRNA 548bb		MI0029321	103504735	NR_128708
MIR548C	microRNA 548c	MIRN548C	hsa-mir-548c	693129	NR_030347
MIR548D1	microRNA 548d-1	MIRN548D1	hsa-mir-548d-1	693130	NR_030382
MIR548D2	microRNA 548d-2	MIRN548D2	hsa-mir-548d-2	693131	NR_030385
MIR548E	microRNA 548e	MIRN548E	hsa-mir-548e	100313921	NR_031614
MIR548F1	microRNA 548f-1	MIRN548F1	hsa-mir-548f-1	100302192	NR_031642
MIR548F2	microRNA 548f-2	MIRN548F2	hsa-mir-548f-2	100313771	NR_031643
MIR548F3	microRNA 548f-3	MIRN548F3	hsa-mir-548f-3	100302159	NR_031644
MIR548F4	microRNA 548f-4	MIRN548F4	hsa-mir-548f-4	100313895	NR_031645
MIR548F5	microRNA 548f-5	MIRN548F5	hsa-mir-548f-5	100302239	NR_031646
MIR548G	microRNA 548g	MIRN548G	hsa-mir-548g	100313938	NR_031662
MIR548H1	microRNA 548h-1	MIRN548H1	hsa-mir-548h-1	100313830	NR_031677
MIR548H2	microRNA 548h-2	MIRN548H2	hsa-mir-548h-2	100313773	NR_031678
MIR548H3	microRNA 548h-3	MIRN548H3	hsa-mir-548h-3	100302287	NR_031679
MIR548H4	microRNA 548h-4	MIRN548H4	hsa-mir-548h-4	100313884	NR_031680
MIR548H5	microRNA 548h-5		hsa-mir-548h-5	100616455	NR_039610
MIR548I1	microRNA 548i-1	MIRN548I1	hsa-mir-548i-1	100302204	NR_031687
MIR548I2	microRNA 548i-2	MIRN548I2	hsa-mir-548i-2	100302277	NR_031688
MIR548I3	microRNA 548i-3	MIRN548I3	hsa-mir-548i-3	100302186	NR_031689
MIR548I4	microRNA 548i-4	MIRN548I4	hsa-mir-548i-4	100302191	NR_031690
MIR548J	microRNA 548j	MIRN548J	hsa-mir-548j	100313914	NR_031615
MIR548K	microRNA 548k	MIRN548K	hsa-mir-548k	100313770	NR_031624
MIR548L	microRNA 548l	MIRN548L	hsa-mir-548l	100302275	NR_031630
MIR548M	microRNA 548m	MIRN548M	hsa-mir-548m	100313772	NR_031667
MIR548N	microRNA 548n	MIRN548N	hsa-mir-548n	100302152	NR_031666
MIR548O	microRNA 548o	MIRN548O	hsa-mir-548o	100313829	NR_031669
MIR548O2	microRNA 548o-2		hsa-mir-548o-2	100616190	NR_039605
MIR548P	microRNA 548p	MIRN548P	hsa-mir-548p	100302288	NR_031686
MIR548Q	microRNA 548q		hsa-mir-548q	100313841	NR_031752
MIR548S	microRNA 548s		hsa-mir-548s	100422862	NR_036071
MIR548T	microRNA 548t		hsa-mir-548t	100422849	NR_036093
MIR548U	microRNA 548u		hsa-mir-548u	100422884	NR_036097
MIR548V	microRNA 548v		hsa-mir-548v	100422850	NR_036103
MIR548W	microRNA 548w		hsa-mir-548w	100422923	NR_036146
MIR548X	microRNA 548x		hsa-mir-548x	100422920	NR_036166
MIR548X2	microRNA 548x-2		hsa-mir-548x-2	100616302	NR_039692
MIR548XHG	MIR548X host gene			101927797	NR_109925
MIR548Y	microRNA 548y		hsa-mir-548y	100500919	NR_037503
MIR548Z	microRNA 548z		hsa-mir-548z	100500856	NR_037515
MIR549A	microRNA 549a	MIRN549, MIR549	hsa-mir-549	693132	NR_030393
MIR550A1	microRNA 550a-1	MIRN550-1, MIR550-1	hsa-mir-550-1	693133	NR_030319
MIR550A2	microRNA 550a-2	MIRN550-2, MIR550-2	hsa-mir-550-2, hsa-mir-550a-2	693134	NR_030320
MIR550A3	microRNA 550a-3		hsa-mir-550a-3	100616354	NR_039600
MIR550B1	microRNA 550b-1		hsa-mir-550b-1	100500883	NR_037513
MIR550B2	microRNA 550b-2		hsa-mir-550b-2	100500830	NR_037514
MIR551A	microRNA 551a	MIRN551A	hsa-mir-551a	693135	NR_030277
MIR551B	microRNA 551b	MIRN551B	hsa-mir-551b	693136	NR_030294
MIR552	microRNA 552	MIRN552	hsa-mir-552	693137	NR_030278
MIR553	microRNA 553	MIRN553	hsa-mir-553	693138	NR_030279
MIR554	microRNA 554	MIRN554	hsa-mir-554	693139	NR_030280
MIR555	microRNA 555	MIRN555	hsa-mir-555	693140	NR_030282
MIR556	microRNA 556	MIRN556	hsa-mir-556	693141	NR_030283
MIR557	microRNA 557	MIRN557	hsa-mir-557	693142	NR_030284
MIR558	microRNA 558	MIRN558	hsa-mir-558	693143	NR_030285
MIR559	microRNA 559	MIRN559	hsa-mir-559	693144	NR_030286
MIR561	microRNA 561	MIRN561	hsa-mir-561	693146	NR_030287
MIR562	microRNA 562	MIRN562	hsa-mir-562	693147	NR_030288
MIR563	microRNA 563	MIRN563	hsa-mir-563	693148	NR_030289
MIR564	microRNA 564	MIRN564	hsa-mir-564	693149	NR_030290
MIR566	microRNA 566	MIRN566	hsa-mir-566	693151	NR_030291
MIR567	microRNA 567	MIRN567	hsa-mir-567	693152	NR_030292
MIR568	microRNA 568	MIRN568	hsa-mir-568	693153	NR_030293
MIR569	microRNA 569	MIRN569	hsa-mir-569	693154	NR_030295
MIR570	microRNA 570	MIRN570	hsa-mir-570	693155	NR_030296
MIR570HG	MIR570 host gene	LINC00969	ENST00000453324	440993	NR_122105
MIR571	microRNA 571	MIRN571	hsa-mir-571	693156	NR_030297
MIR572	microRNA 572	MIRN572	hsa-mir-572	693157	NR_030298
MIR573	microRNA 573	MIRN573	hsa-mir-573	693158	NR_030299
MIR574	microRNA 574	MIRN574	hsa-mir-574	693159	NR_030300
MIR575	microRNA 575	MIRN575	hsa-mir-575	693160	NR_030301
MIR576	microRNA 576	MIRN576	hsa-mir-576	693161	NR_030302
MIR577	microRNA 577	MIRN577	hsa-mir-577	693162	NR_030303
MIR578	microRNA 578	MIRN578	hsa-mir-578	693163	NR_030304
MIR579	microRNA 579	MIRN579	hsa-mir-579	693164	NR_030305
MIR580	microRNA 580	MIRN580	hsa-mir-580	693165	NR_030306
MIR581	microRNA 581	MIRN581	hsa-mir-581	693166	NR_030307
MIR582	microRNA 582	MIRN582	hsa-mir-582	693167	NR_030308
MIR583	microRNA 583	MIRN583	hsa-mir-583	693168	NR_030309
MIR583HG	MIR583 host gene			107984114	
MIR584	microRNA 584	MIRN584	hsa-mir-584	693169	NR_030310
MIR585	microRNA 585	MIRN585	hsa-mir-585	693170	NR_030311
MIR586	microRNA 586	MIRN586	hsa-mir-586	693171	NR_030313
MIR587	microRNA 587	MIRN587	hsa-mir-587	693172	NR_030314
MIR588	microRNA 588	MIRN588	hsa-mir-588	693173	NR_030316
MIR589	microRNA 589	MIRN589	hsa-mir-589	693174	NR_030318
MIR590	microRNA 590	MIRN590	hsa-mir-590	693175	NR_030321
MIR591	microRNA 591	MIRN591	hsa-mir-591	693176	NR_030322
MIR592	microRNA 592	MIRN592	hsa-mir-592	693177	NR_030323
MIR593	microRNA 593	MIRN593	hsa-mir-593	693178	NR_030324
MIR595	microRNA 595	MIRN595	hsa-mir-595	693180	NR_030325
MIR596	microRNA 596	MIRN596	hsa-mir-596	693181	NR_030326
MIR597	microRNA 597	MIRN597	hsa-mir-597	693182	NR_030327
MIR598	microRNA 598	MIRN598	hsa-mir-598	693183	NR_030328
MIR599	microRNA 599	MIRN599	hsa-mir-599	693184	NR_030329
MIR600	microRNA 600	MIRN600	hsa-mir-600	693185	NR_030331
MIR600HG	MIR600 host gene	C9orf45, NCRNA00287	GL012, FLJ22161	81571	NR_026677
MIR601	microRNA 601	MIRN601	hsa-mir-601	693186	NR_030332
MIR602	microRNA 602	MIRN602	hsa-mir-602	693187	NR_030333
MIR603	microRNA 603	MIRN603	hsa-mir-603	693188	NR_030334
MIR604	microRNA 604	MIRN604	hsa-mir-604	693189	NR_030335
MIR605	microRNA 605	MIRN605	hsa-mir-605	693190	NR_030336
MIR606	microRNA 606	MIRN606	hsa-mir-606	693191	NR_030337
MIR607	microRNA 607	MIRN607	hsa-mir-607	693192	NR_030338
MIR608	microRNA 608	MIRN608	hsa-mir-608	693193	NR_030339
MIR609	microRNA 609	MIRN609	hsa-mir-609	693194	NR_030340
MIR610	microRNA 610	MIRN610	hsa-mir-610	693195	NR_030341
MIR611	microRNA 611	MIRN611	hsa-mir-611	693196	NR_030342
MIR612	microRNA 612	MIRN612	hsa-mir-612	693197	NR_030343
MIR613	microRNA 613	MIRN613	hsa-mir-613	693198	NR_030344
MIR614	microRNA 614	MIRN614	hsa-mir-614	693199	NR_030345
MIR615	microRNA 615	MIRN615	hsa-mir-615	693200	NR_030753
MIR616	microRNA 616	MIRN616	hsa-mir-616	693201	NR_030346
MIR617	microRNA 617	MIRN617	hsa-mir-617	693202	NR_030348
MIR618	microRNA 618	MIRN618	hsa-mir-618	693203	NR_030349
MIR619	microRNA 619	MIRN619	hsa-mir-619	693204	NR_030350
MIR620	microRNA 620	MIRN620	hsa-mir-620	693205	NR_030351
MIR621	microRNA 621	MIRN621	hsa-mir-621	693206	NR_030352
MIR622	microRNA 622	MIRN622	hsa-mir-622	693207	NR_030754
MIR623	microRNA 623	MIRN623	hsa-mir-623	693208	NR_030353
MIR624	microRNA 624	MIRN624	hsa-mir-624	693209	NR_030354
MIR625	microRNA 625	MIRN625	hsa-mir-625	693210	NR_030355
MIR626	microRNA 626	MIRN626	hsa-mir-626	693211	NR_030356
MIR627	microRNA 627	MIRN627	hsa-mir-627	693212	NR_030357
MIR628	microRNA 628	MIRN628	hsa-mir-628	693213	NR_030358
MIR629	microRNA 629	MIRN629	hsa-mir-629	693214	NR_030714
MIR630	microRNA 630	MIRN630	hsa-mir-630	693215	NR_030359
MIR631	microRNA 631	MIRN631	hsa-mir-631	693216	NR_030360
MIR632	microRNA 632	MIRN632	hsa-mir-632	693217	NR_030362
MIR633	microRNA 633	MIRN633	hsa-mir-633	693218	NR_030363
MIR634	microRNA 634	MIRN634	hsa-mir-634	693219	NR_030364
MIR635	microRNA 635	MIRN635	hsa-mir-635	693220	NR_030365
MIR636	microRNA 636	MIRN636	hsa-mir-636	693221	NR_030366
MIR637	microRNA 637	MIRN637	hsa-mir-637	693222	NR_030367
MIR638	microRNA 638	MIRN638	hsa-mir-638	693223	NR_030368
MIR639	microRNA 639	MIRN639	hsa-mir-639	693224	NR_030369
MIR640	microRNA 640	MIRN640	hsa-mir-640	693225	NR_030370
MIR641	microRNA 641	MIRN641	hsa-mir-641	693226	NR_030371
MIR642A	microRNA 642a	MIRN642, MIR642	hsa-mir-642	693227	NR_030372
MIR642B	microRNA 642b		hsa-mir-642b	100500845	NR_037512
MIR643	microRNA 643	MIRN643	hsa-mir-643	693228	NR_030373
MIR644A	microRNA 644a	MIRN644, MIR644	hsa-mir-644	693229	NR_030374
MIR645	microRNA 645	MIRN645	hsa-mir-645	693230	NR_030375
MIR646	microRNA 646	MIRN646	hsa-mir-646	693231	NR_030376
MIR646HG	MIR646 host gene			284757	NR_046099
MIR647	microRNA 647	MIRN647	hsa-mir-647	693232	NR_030377
MIR648	microRNA 648	MIRN648	hsa-mir-648	693233	NR_030378
MIR649	microRNA 649	MIRN649	hsa-mir-649	693234	NR_030379
MIR650	microRNA 650	MIRN650	hsa-mir-650	723778	NR_030755
MIR651	microRNA 651	MIRN651	hsa-mir-651	723779	NR_030380
MIR652	microRNA 652	MIRN652	hsa-mir-652	724022	NR_030381
MIR653	microRNA 653	MIRN653	hsa-mir-653	724023	NR_030388
MIR654	microRNA 654	MIRN654	hsa-mir-654	724024	NR_030390
MIR655	microRNA 655	MIRN655	hsa-mir-655	724025	NR_030391
MIR656	microRNA 656	MIRN656	hsa-mir-656	724026	NR_030392
MIR657	microRNA 657	MIRN657	hsa-mir-657	724027	NR_030394
MIR658	microRNA 658	MIRN658	hsa-mir-658	724028	NR_030395
MIR659	microRNA 659	MIRN659	hsa-mir-659	724029	NR_030396
MIR660	microRNA 660	MIRN660	hsa-mir-660	724030	NR_030397
MIR661	microRNA 661	MIRN661	hsa-mir-661	724031	NR_030383
MIR662	microRNA 662	MIRN662	hsa-mir-662	724032	NR_030384
MIR663A	microRNA 663a	MIRN663, MIR663	hsa-mir-663	724033	NR_030386
MIR663AHG	MIR663A host gene		RP3-410C9.1	284801	NR_040095
MIR663B	microRNA 663b	MIRN663B	hsa-mir-663b	100313824	NR_031608
MIR664A	microRNA 664a	MIRN664, MIR664	hsa-mir-664	100302234	NR_031705
MIR664B	microRNA 664b	MIR644B	hsa-mir-664b	100847052	NR_049842
MIR665	microRNA 665	MIRN665	hsa-mir-665	100126315	NR_030617
MIR668	microRNA 668	MIRN668	hsa-mir-668	768214	NR_030408
MIR670	microRNA 670		hsa-mir-670	100313777	NR_031577
MIR670HG	MIR670 host gene			100507261	
MIR671	microRNA 671	MIRN671	hsa-mir-671	768213	NR_030407
MIR675	microRNA 675	MIRN675	hsa-mir-675	100033819	NR_030533
MIR676	microRNA 676		hsa-mir-676	100500887	NR_037494
MIR708	microRNA 708	MIRN708	hsa-mir-708	100126333	NR_030598
MIR711	microRNA 711		hsa-mir-711	100313843	NR_031756
MIR718	microRNA 718		hsa-mir-718	100313781	NR_031757
MIR720~withdrawn	entry withdrawn				
MIR744	microRNA 744	MIRN744	hsa-mir-744	100126313	NR_030613
MIR758	microRNA 758	MIRN758	hsa-mir-758	768212	NR_030406
MIR759	microRNA 759		hsa-mir-759	100313778	NR_031582
MIR760	microRNA 760	MIRN760	hsa-mir-760	100126348	NR_030621
MIR761	microRNA 761		hsa-mir-761	100313892	NR_031580
MIR762	microRNA 762		hsa-mir-762	100313837	NR_031576
MIR762HG	MIR762 host gene			101928736	NR_110940
MIR764	microRNA 764		hsa-mir-764	100313838	NR_031581
MIR765	microRNA 765	MIRN765	hsa-mir-765	768220	NR_030527
MIR766	microRNA 766	MIRN766	hsa-mir-766	768218	NR_030413
MIR767	microRNA 767	MIRN767	hsa-mir-767	768215	NR_030409
MIR769	microRNA 769	MIRN769	hsa-mir-769	768217	NR_030412
MIR770	microRNA 770	MIRN770	hsa-mir-770	768222	NR_030528
MIR802	microRNA 802	MIRN802	hsa-mir-802	768219	NR_030414
MIR873	microRNA 873	MIRN873	hsa-mir-873	100126316	NR_030618
MIR874	microRNA 874	MIRN874	hsa-mir-874	100126343	NR_030588
MIR875	microRNA 875	MIRN875	hsa-mir-875	100126309	NR_030596
MIR876	microRNA 876	MIRN876	hsa-mir-876	100126310	NR_030597
MIR877	microRNA 877	MIRN877	hsa-mir-877	100126314	NR_030615
MIR885	microRNA 885	MIRN885	hsa-mir-885	100126334	NR_030614
MIR886~withdrawn	symbol withdrawn, see VTRNA2-1				
MIR887	microRNA 887	MIRN887	hsa-mir-887	100126347	NR_030616
MIR888	microRNA 888	MIRN888	hsa-mir-888	100126306	NR_030592
MIR889	microRNA 889	MIRN889	hsa-mir-889	100126345	NR_030595
MIR890	microRNA 890	MIRN890	hsa-mir-890	100126303	NR_030589
MIR891A	microRNA 891a	MIRN891A	hsa-mir-891a	100126341	NR_030581
MIR891B	microRNA 891b	MIRN891B	hsa-mir-891b	100126304	NR_030590
MIR892A	microRNA 892a	MIRN892A	hsa-mir-892a	100126342	NR_030584
MIR892B	microRNA 892b	MIRN892B	hsa-mir-892b	100126307	NR_030593
MIR892C	microRNA 892c		hsa-mir-892c	102466721	NR_106783
MIR920	microRNA 920	MIRN920	hsa-mir-920	100126320	NR_030625
MIR921	microRNA 921	MIRN921	hsa-mir-921	100126349	NR_030626
MIR922	microRNA 922	MIRN922	hsa-mir-922	100126321	NR_030627
MIR923~withdrawn	entry withdrawn				
MIR924	microRNA 924	MIRN924	hsa-mir-924	100126323	NR_030628
MIR924HG	MIR924 host gene	LINC00669		647946	NR_024391
MIR933	microRNA 933	MIRN933	hsa-mir-933	100126350	NR_030630
MIR934	microRNA 934	MIRN934	hsa-mir-934	100126324	NR_030631
MIR935	microRNA 935	MIRN935	hsa-mir-935	100126325	NR_030632
MIR936	microRNA 936	MIRN936	hsa-mir-936	100126326	NR_030760
MIR937	microRNA 937	MIRN937	hsa-mir-937	100126338	NR_030633
MIR938	microRNA 938	MIRN938	hsa-mir-938	100126327	NR_030634
MIR939	microRNA 939	MIRN939	hsa-mir-939	100126351	NR_030635
MIR940	microRNA 940	MIRN940	hsa-mir-940	100126328	NR_030636
MIR941-1	microRNA 941-1	MIRN941-1	hsa-mir-941-1	100126329	NR_030637
MIR941-2	microRNA 941-2	MIRN941-2	hsa-mir-941-2	100126339	NR_030638
MIR941-3	microRNA 941-3	MIRN941-3	hsa-mir-941-3	100126352	NR_030639
MIR941-4	microRNA 941-4	MIRN941-4	hsa-mir-941-4	100126330	NR_040032
MIR941-5	microRNA 941-5			103504732	NR_128719
MIR942	microRNA 942	MIRN942	hsa-mir-942	100126331	NR_030640
MIR943	microRNA 943	MIRN943	hsa-mir-943	100126332	NR_030641
MIR944	microRNA 944	MIRN944	hsa-mir-944	100126340	NR_030642
MIR1178	microRNA 1178	MIRN1178	hsa-mir-1178	100302274	NR_031589
MIR1179	microRNA 1179	MIRN1179	hsa-mir-1179	100302235	NR_031590
MIR1180	microRNA 1180	MIRN1180	hsa-mir-1180	100302256	NR_031591
MIR1181	microRNA 1181	MIRN1181	hsa-mir-1181	100302213	NR_031592
MIR1182	microRNA 1182	MIRN1182	hsa-mir-1182	100302132	NR_031593
MIR1183	microRNA 1183	MIRN1183	hsa-mir-1183	100302122	NR_031594
MIR1184-1	microRNA 1184-1	MIRN1184, MIR1184	hsa-mir-1184	100302111	NR_036049
MIR1184-2	microRNA 1184-2		hsa-mir-1184-2	100422985	NR_036259
MIR1184-3	microRNA 1184-3		hsa-mir-1184-3	100422977	NR_036260
MIR1185-1	microRNA 1185-1	MIRN1185-1	hsa-mir-1185-1	100302157	NR_031575
MIR1185-2	microRNA 1185-2	MIRN1185-2	hsa-mir-1185-2	100302209	NR_031571
MIR1193	microRNA 1193		hsa-mir-1193	100422837	NR_036132
MIR1197	microRNA 1197	MIRN1197	hsa-mir-1197	100302250	NR_031713
MIR1199	microRNA 1199		hsa-mir-1199	102466515	NR_106715
MIR1200	microRNA 1200	MIRN1200	hsa-mir-1200	100302113	NR_031604
MIR1201~withdrawn	symbol withdrawn, see SNORD126				
MIR1202	microRNA 1202	MIRN1202	hsa-mir-1202	100302259	NR_031606
MIR1203	microRNA 1203	MIRN1203	hsa-mir-1203	100302211	NR_031607
MIR1204	microRNA 1204		hsa-mir-1204	100302185	NR_031609
MIR1205	microRNA 1205	MIRN1205	hsa-mir-1205	100302161	NR_031610
MIR1206	microRNA 1206	MIRN1206	hsa-mir-1206	100302170	NR_031611
MIR1207	microRNA 1207	MIRN1207	hsa-mir-1207	100302175	NR_031612
MIR1208	microRNA 1208	MIRN1208	hsa-mir-1208	100302281	NR_031613
MIR1224	microRNA 1224	MIRN1224	hsa-mir-1224	100187716	NR_030410
MIR1225	microRNA 1225	MIRN1225	hsa-mir-1225	100188847	NR_030646
MIR1226	microRNA 1226	MIRN1226	hsa-mir-1226	100302232	NR_031595
MIR1227	microRNA 1227	MIRN1227	hsa-mir-1227	100302283	NR_031596
MIR1228	microRNA 1228	MIRN1228	hsa-mir-1228	100302201	NR_031597
MIR1229	microRNA 1229	MIRN1229	hsa-mir-1229	100302156	NR_031598
MIR1231	microRNA 1231	MIRN1231	hsa-mir-1231	100302158	NR_031599
MIR1233-1	microRNA 1233-1	MIRN1233, MIR1233	hsa-mir-1233	100302160	NR_036050
MIR1233-2	microRNA 1233-2		hsa-mir-1233-2	100422845	NR_036261
MIR1234	microRNA 1234	MIRN1234	hsa-mir-1234	100302196	NR_031600
MIR1236	microRNA 1236	MIRN1236	hsa-mir-1236	100302242	NR_031601
MIR1237	microRNA 1237	MIRN1237	hsa-mir-1237	100302280	NR_031602
MIR1238	microRNA 1238	MIRN1238	hsa-mir-1238	100302226	NR_031603
MIR1243	microRNA 1243	MIRN1243	hsa-mir-1243	100302188	NR_031641
MIR1244-1	microRNA 1244-1	MIRN1244, MIR1244	hsa-mir-1244	100302285	NR_036052
MIR1244-2	microRNA 1244-2		hsa-mir-1244-2	100422885	NR_036262
MIR1244-3	microRNA 1244-3		hsa-mir-1244-3	100422872	NR_036263
MIR1244-4	microRNA 1244-4			103504734	NR_128710
MIR1245A	microRNA 1245a	MIRN1245, MIR1245	hsa-mir-1245	100302219	NR_031647
MIR1245B	microRNA 1245b		hsa-mir-1245b	100616324	NR_039947
MIR1246	microRNA 1246	MIRN1246	hsa-mir-1246	100302142	NR_031648
MIR1247	microRNA 1247	MIRN1247	hsa-mir-1247	100302145	NR_031649
MIR1248	microRNA 1248	MIRN1248	hsa-mir-1248	100302143	NR_031650
MIR1249	microRNA 1249	MIRN1249	hsa-mir-1249	100302149	NR_031651
MIR1250	microRNA 1250	MIRN1250	hsa-mir-1250	100302229	NR_031652
MIR1251	microRNA 1251	MIRN1251	hsa-mir-1251	100302289	NR_031653
MIR1252	microRNA 1252	MIRN1252	hsa-mir-1252	100302136	NR_031700
MIR1253	microRNA 1253	MIRN1253	hsa-mir-1253	100302208	NR_031654
MIR1254-1	microRNA 1254-1	MIRN1254, MIR1254	hsa-mir-1254	100302273	NR_031655
MIR1254-2	microRNA 1254-2		hsa-mir-1254-2	100616217	NR_039606
MIR1255A	microRNA 1255a	MIRN1255A	hsa-mir-1255a	100302193	NR_031656
MIR1255B1	microRNA 1255b-1	MIRN1255B1	hsa-mir-1255b-1	100313806	NR_031701
MIR1255B2	microRNA 1255b-2	MIRN1255B2	hsa-mir-1255b-2	100313835	NR_031702
MIR1256	microRNA 1256	MIRN1256	hsa-mir-1256	100302155	NR_031657
MIR1257	microRNA 1257	MIRN1257	hsa-mir-1257	100302168	NR_031658
MIR1258	microRNA 1258	MIRN1258	hsa-mir-1258	100302172	NR_031659
MIR1259~withdrawn	symbol withdrawn, see SNORD12				
MIR1260A	microRNA 1260a	MIRN1260, MIR1260	hsa-mir-1260	100302236	NR_031661
MIR1260B	microRNA 1260b		hsa-mir-1260b	100422991	NR_036125
MIR1261	microRNA 1261	MIRN1261	hsa-mir-1261	100302228	NR_031663
MIR1262	microRNA 1262	MIRN1262	hsa-mir-1262	100302279	NR_031664
MIR1263	microRNA 1263	MIRN1263	hsa-mir-1263	100302148	NR_031665
MIR1264	microRNA 1264	MIRN1264	hsa-mir-1264	100302251	NR_031563
MIR1265	microRNA 1265	MIRN1265	hsa-mir-1265	100302116	NR_031668
MIR1266	microRNA 1266	MIRN1266	hsa-mir-1266	100302202	NR_031670
